,City,Date,Time,Wind,Humidity,Weather,PM2.5,PM10,O₃,NO₂,SO₂,CO,AQI
7,Dhaka,07 December 2024,03:00,0 km/h,72%,17°,108.7,,14.0,,,, 188 
8,Hanoi,07 December 2024,04:00,10 km/h,73%,18°,96.5,106.9,,40.7,,850.1, 180 
9,Jakarta,07 December 2024,04:00,9.3 km/h,93%,26°,91.8,,8.0,,,, 176 
10,Tehran,07 December 2024,00:30,0 km/h,41%,4°,83.0,,,,,, 170 
11,Kolkata,07 December 2024,02:30,0 km/h,82%,17°,81.7,174.0,9.2,29.1,6.7,"1,680.0", 169 
12,Kampala,07 December 2024,00:00,2.3 km/h,81%,18°,40.9,4.7,30.4,3.3,0.5,, 114 
13,Kabul,07 December 2024,01:30,2 km/h,30%,1°,73.7,,,,,, 164 
14,Kathmandu,07 December 2024,02:45,3.7 km/h,93%,11°,64.6,78.0,32.0,,,, 157 
15,Tashkent,07 December 2024,02:00,3.7 km/h,100%,-1°,63.6,,10.0,,,, 157 
16,Ulaanbaatar,07 December 2024,05:00,3.6 km/h,76%,-27°,59.0,98.5,0.1,54.0,67.0,"2,300.0", 153 
17,Mumbai,07 December 2024,02:30,0 km/h,57%,27°,55.1,117.8,15.0,20.5,9.0,730.0, 149 
18,Skopje,06 December 2024,22:00,7.4 km/h,93%,8°,52.5,63.9,2.9,26.8,3.3,, 143 
19,Athens,06 December 2024,23:00,1.6 km/h,92%,13°,52.3,31.0,3.0,61.0,11.0,, 142 
20,Zagreb,06 December 2024,22:00,3.7 km/h,86%,-1°,51.9,82.4,11.9,50.6,6.4,763.0, 141 
21,Bishkek,07 December 2024,03:00,8.7 km/h,55%,-4°,49.4,0.0,,80.5,,, 135 
22,Baghdad,07 December 2024,00:00,11.1 km/h,66%,8°,48.0,,,,,, 132 
23,Tel Aviv-Yafo,06 December 2024,23:00,5.5 km/h,45%,18°,46.8,150.0,111.4,130.1,21.5,"1,259.5", 129 
24,Almaty,07 December 2024,02:00,7.2 km/h,93%,-3°,46.7,31.4,,81.3,23.7,"1,653.8", 129 
25,Jerusalem,06 December 2024,23:00,1.6 km/h,56%,13°,43.8,,169.0,67.3,,, 121 
26,Salt Lake City,06 December 2024,15:00,16.7 km/h,67%,5°,43.1,71.0,16.0,75.6,3.9,572.5, 120 
27,Doha,07 December 2024,00:00,7.4 km/h,68%,22°,42.5,,6.0,,,, 118 
28,Dakar,06 December 2024,21:00,11.1 km/h,83%,24°,41.0,13.9,,,,, 115 
29,Shenzhen,07 December 2024,05:00,11.3 km/h,79%,16°,40.5,55.5,45.0,18.0,6.0,700.0, 113 
30,Guangzhou,07 December 2024,05:00,10.9 km/h,68%,17°,40.0,50.0,46.0,18.0,5.0,784.0, 112 
31,Bangkok,07 December 2024,05:00,5.2 km/h,60%,24°,37.0,80.0,,75.2,,, 105 
32,Kuwait City,07 December 2024,01:00,3.2 km/h,58%,17°,41.0,,,,,, 115 
33,Milano,06 December 2024,22:00,5.5 km/h,87%,2°,38.0,95.7,1.9,43.6,5.1,600.0, 107 
34,Dubai,07 December 2024,01:00,11.1 km/h,69%,23°,34.5,120.0,74.0,,,, 98 
35,Lyon,06 December 2024,22:00,3.7 km/h,100%,3°,33.2,41.2,4.1,54.1,4.3,1.3, 96 
36,Istanbul,07 December 2024,00:00,6.9 km/h,70%,11°,32.3,81.2,5.5,70.5,7.0,"1,097.2", 94 
37,Hong Kong,07 December 2024,05:00,8.1 km/h,80%,18°,32.0,46.8,51.2,27.0,2.4,664.8, 94 
38,Manama,07 December 2024,00:00,11.1 km/h,80%,22°,31.0,,,,,, 92 
39,Kaohsiung,07 December 2024,06:00,9.3 km/h,78%,20°,29.0,48.5,19.0,30.1,3.7,395.0, 88 
40,Batam,07 December 2024,04:00,5.5 km/h,89%,27°,27.9,27.8,128.4,47.7,1.8,, 86 
41,Chongqing,07 December 2024,05:00,3.8 km/h,93%,5°,28.0,35.0,18.0,23.0,6.0,600.0, 86 
42,Baku,07 December 2024,01:00,11.1 km/h,100%,9°,26.7,,,,,, 84 
43,Rome,06 December 2024,23:00,13 km/h,74%,10°,10.1,,2.5,55.0,1.2,1.8, 53 
44,Ljubljana,06 December 2024,22:00,1.8 km/h,93%,-1°,26.0,33.5,2.7,47.0,,400.2, 82 
45,Riyadh,07 December 2024,01:00,10.8 km/h,43%,19°,26.0,,,,,, 82 
46,Accra,06 December 2024,21:00,11.1 km/h,78%,28°,25.0,,,,,, 81 
47,Chiang Mai,07 December 2024,05:00,0 km/h,88%,22°,25.3,43.3,,,,, 81 
48,Kuching,07 December 2024,05:00,0 km/h,99%,25°,24.6,,,,,, 80 
49,Warsaw,06 December 2024,23:00,16.7 km/h,87%,1°,24.2,31.3,13.6,21.7,4.6,283.0, 79 
50,Chengdu,07 December 2024,05:00,10.8 km/h,66%,8°,24.0,36.0,37.0,21.0,4.0,400.0, 79 
51,Nice,06 December 2024,22:00,20.4 km/h,77%,10°,23.2,30.6,9.2,32.1,,, 77 
52,Budapest,06 December 2024,22:00,3.7 km/h,96%,1°,22.9,29.0,3.0,29.0,5.3,880.0, 77 
53,Madrid,06 December 2024,23:00,7.4 km/h,89%,9°,21.0,37.0,2.0,65.0,4.0,, 73 
54,Wuhan,07 December 2024,05:00,9.3 km/h,47%,5°,22.0,32.0,64.0,21.5,9.0,500.0, 75 
55,Sarajevo,06 December 2024,23:00,0 km/h,100%,2°,23.0,18.0,28.5,29.0,12.5,332.5, 77 
56,Los Angeles,06 December 2024,14:00,3.2 km/h,34%,25°,17.9,,22.0,71.4,2.6,, 67 
57,Oslo,06 December 2024,23:00,3.9 km/h,97%,0°,34.6,38.4,22.3,42.2,0.3,0.4, 98 
58,Algiers,06 December 2024,22:00,11.1 km/h,88%,13°,20.0,,,,,, 71 
59,Bratislava,06 December 2024,23:00,7.4 km/h,83%,5°,15.1,23.0,13.0,33.0,4.0,533.6, 62 
60,Ho Chi Minh City,07 December 2024,05:00,9.3 km/h,89%,26°,36.2,,,,,, 102 
61,Kraków,06 December 2024,23:00,1.8 km/h,69%,2°,16.5,21.4,,36.8,2.6,279.0, 65 
62,Belgrade,06 December 2024,23:00,5.5 km/h,94%,4°,22.3,41.5,7.3,28.4,9.9,805.0, 75 
63,Copenhagen,06 December 2024,23:00,16.7 km/h,87%,3°,15.9,14.5,31.6,15.9,1.9,0.3, 63 
64,Yangon,07 December 2024,04:30,5.5 km/h,94%,23°,13.0,,,,,, 58 
65,San Francisco,06 December 2024,14:00,13 km/h,59%,18°,14.2,,26.0,41.0,,, 61 
66,Kuala Lumpur,07 December 2024,06:00,3.7 km/h,83%,25°,19.0,,,,,, 69 
67,Phnom Penh,07 December 2024,05:00,9.3 km/h,100%,26°,13.1,,,,,, 58 
68,Medan,07 December 2024,04:00,3.7 km/h,100%,24°,15.0,33.0,153.5,47.7,28.2,, 63 
69,Wrocław,06 December 2024,23:00,3.7 km/h,95%,3°,14.9,26.4,0.6,42.5,11.9,686.0, 62 
70,Lima,06 December 2024,17:00,20.4 km/h,82%,17°,16.8,36.9,5.0,15.9,30.2,1.5, 65 
71,Nairobi,07 December 2024,01:00,12.7 km/h,87%,15°,15.0,13.4,,,,44.6, 62 
72,Paris,06 December 2024,23:00,18.5 km/h,86%,8°,9.8,29.1,27.9,34.0,,, 52 
73,Krasnoyarsk,07 December 2024,05:00,4 km/h,97%,-7°,15.5,,,46.0,11.0,200.0, 63 
74,Kyiv,07 December 2024,00:00,3.2 km/h,77%,1°,11.7,12.9,,,,, 56 
75,Pristina,06 December 2024,23:00,6.4 km/h,89%,6°,12.8,17.9,11.1,36.1,11.1,600.0, 58 
76,Manila,07 December 2024,05:00,9.3 km/h,92%,25°,12.5,,,,,, 57 
77,Sofia,07 December 2024,00:00,25.9 km/h,93%,3°,12.9,39.4,23.6,32.5,8.5,0.6, 58 
78,Amsterdam,06 December 2024,23:00,16.7 km/h,76%,5°,11.5,24.6,40.3,36.6,0.7,432.8, 55 
79,Addis Ababa,07 December 2024,01:00,5.5 km/h,47%,12°,11.0,,,,,, 55 
80,Bogota,06 December 2024,17:00,11.1 km/h,100%,14°,13.7,40.0,19.9,,,, 60 
81,Bucharest,07 December 2024,00:00,9.3 km/h,95%,3°,11.0,15.6,12.3,35.8,7.0,, 55 
82,Barcelona,06 December 2024,23:00,3.7 km/h,78%,13°,11.0,19.0,12.0,53.0,2.0,300.0, 55 
83,Incheon,07 December 2024,07:00,3.7 km/h,86%,-4°,10.5,25.0,28.4,44.1,8.9,578.2, 54 
84,Brussels,06 December 2024,23:00,16.7 km/h,82%,6°,1.4,20.0,24.5,35.5,,, 19 
85,Seoul,07 December 2024,07:00,3.7 km/h,86%,-4°,10.0,22.5,22.8,56.2,6.8,561.1, 53 
86,Seattle,06 December 2024,14:00,13 km/h,77%,9°,11.4,26.9,7.2,42.4,2.6,417.2, 55 
87,Rotterdam,06 December 2024,22:00,14.8 km/h,85%,6°,9.6,21.6,19.3,51.0,,, 52 
88,Vancouver,06 December 2024,14:00,18.5 km/h,89%,9°,8.0,,2.5,45.9,3.3,, 44 
89,Singapore,07 December 2024,06:00,7.4 km/h,84%,26°,10.0,21.0,19.0,18.0,4.0,500.0, 53 
90,Stockholm,06 December 2024,23:00,7.4 km/h,95%,0°,8.7,12.1,25.8,6.9,,, 48 
91,Vienna,06 December 2024,22:00,49.9 km/h,79%,5°,9.0,12.0,66.5,7.0,1.0,250.0, 50 
92,Busan,07 December 2024,07:00,1.8 km/h,64%,0°,9.5,16.0,52.0,22.6,5.2,343.5, 52 
93,Bern,06 December 2024,23:00,9.3 km/h,84%,2°,13.2,13.9,30.0,21.0,,, 59 
94,Sao Paulo,06 December 2024,19:00,14.3 km/h,83%,27°,8.0,29.0,71.0,37.5,1.0,572.5, 44 
95,Berlin,06 December 2024,23:00,8.1 km/h,94%,5°,8.0,11.5,15.0,31.0,,0.0, 44 
96,Osaka,07 December 2024,07:00,5.5 km/h,81%,3°,8.0,9.5,,18.8,10.5,343.5, 44 
97,London,06 December 2024,22:00,37 km/h,90%,9°,4.6,17.1,44.6,42.6,,300.0, 26 
98,Lisbon,06 December 2024,22:00,13 km/h,76%,15°,4.7,11.5,28.0,47.0,3.5,338.0, 26 
99,Moscow,07 December 2024,01:00,18.5 km/h,65%,-4°,8.3,,,,,, 46 
100,Kobe,07 December 2024,06:00,22.5 km/h,55%,3°,7.0,7.0,,11.3,0.0,400.8, 39 
101,Sydney,07 December 2024,09:00,18.5 km/h,86%,23°,6.4,22.2,0.0,0.0,0.0,108.4, 36 
102,Munich,06 December 2024,23:00,11.3 km/h,71%,5°,5.0,9.0,64.0,7.0,,, 28 
103,Taipei,07 December 2024,06:00,13 km/h,75%,19°,4.1,8.0,84.0,5.6,1.8,234.7, 34 
104,Helsinki,07 December 2024,00:00,20.9 km/h,87%,0°,5.9,6.6,26.8,5.6,0.3,, 33 
105,Kyoto,07 December 2024,06:00,7.4 km/h,85%,3°,6.0,7.5,,16.9,2.6,343.5, 33 
106,Beijing,07 December 2024,06:00,21.6 km/h,34%,-2°,6.0,11.0,50.0,3.0,3.0,200.0, 33 
107,Santiago,06 December 2024,19:00,33.3 km/h,35%,23°,3.0,34.0,79.0,9.9,3.7,355.0, 32 
108,Birmingham,06 December 2024,21:00,29.6 km/h,95%,9°,5.6,10.0,47.1,10.4,1.1,, 31 
109,Portland,06 December 2024,14:00,8.1 km/h,64%,8°,5.5,6.1,16.0,4.9,1.6,114.5, 31 
110,Johannesburg,07 December 2024,00:00,1.8 km/h,30%,22°,15.0,30.0,,,,, 62 
111,Washington D.C.,06 December 2024,17:00,16.7 km/h,48%,0°,4.0,8.0,64.0,7.2,,171.8, 26 
112,Minneapolis,06 December 2024,16:00,9.3 km/h,58%,0°,6.0,30.0,,,,, 33 
113,Houston,06 December 2024,16:00,22.2 km/h,41%,13°,4.8,26.8,51.0,5.8,,171.8, 27 
0,Delhi,07 December 2024,03:30,5.5 km/h,66%,12°,167.0,273.0,7.3,63.8,9.8,"1,600.0", 242 
1,Cairo,07 December 2024,00:00,5.5 km/h,59%,19°,154.0,,,,,, 229 
2,Kinshasa,06 December 2024,22:00,0.4 km/h,90%,22°,151.0,,,,,, 226 
3,Lahore,07 December 2024,03:00,9.3 km/h,71%,10°,141.0,,,,,, 216 
4,Karachi,07 December 2024,03:00,9.3 km/h,72%,14°,126.0,,,,,, 201 
5,Shanghai,07 December 2024,06:00,7.2 km/h,81%,6°,126.0,146.0,45.0,49.5,6.0,851.5, 201 
6,Dhaka,07 December 2024,04:00,7.4 km/h,68%,18°,106.6,,12.0,,,, 187 
7,Hangzhou,07 December 2024,06:00,5.4 km/h,71%,8°,106.0,140.5,10.0,53.0,7.0,900.0, 186 
8,Jakarta,07 December 2024,05:00,7.4 km/h,95%,25°,98.0,,6.0,,,, 181 
9,Tehran,07 December 2024,01:30,7.4 km/h,45%,3°,96.0,,,,73.4,"4,328.1", 179 
10,Hanoi,07 December 2024,05:00,10.5 km/h,73%,18°,93.0,97.6,6.0,42.3,,927.2, 177 
11,Kolkata,07 December 2024,03:30,5.5 km/h,82%,17°,81.4,167.6,10.5,28.8,7.0,"1,590.0", 169 
12,Kathmandu,07 December 2024,03:45,0 km/h,93%,11°,79.2,87.0,22.0,,,, 168 
13,Kabul,07 December 2024,02:30,2.1 km/h,30%,0°,74.7,,,,,, 164 
14,Kampala,07 December 2024,00:00,2.1 km/h,82%,18°,72.7,4.7,30.4,3.3,0.5,, 163 
15,Tashkent,07 December 2024,03:00,3.7 km/h,86%,-2°,70.0,,12.0,,,, 161 
16,Ulaanbaatar,07 December 2024,06:00,3.6 km/h,76%,-27°,59.5,87.5,0.1,45.0,68.8,"2,400.0", 154 
17,Athens,07 December 2024,00:00,1.6 km/h,92%,13°,58.5,45.0,4.0,56.0,7.5,, 153 
18,Skopje,06 December 2024,23:00,7.2 km/h,93%,7°,54.6,71.5,5.7,20.1,3.7,, 148 
19,Mumbai,07 December 2024,03:30,5.5 km/h,65%,26°,54.1,123.6,15.7,18.6,9.4,730.0, 147 
20,Tel Aviv-Yafo,07 December 2024,00:00,5.5 km/h,48%,16°,49.0,,,113.7,21.8,"1,717.5", 134 
21,Almaty,07 December 2024,03:00,7.2 km/h,93%,-3°,47.9,30.4,,80.1,21.7,994.7, 131 
22,Zagreb,06 December 2024,23:00,3.7 km/h,93%,-1°,47.2,77.3,16.7,43.7,6.4,462.0, 130 
23,Baghdad,07 December 2024,01:00,13 km/h,66%,9°,46.0,,,,,, 127 
24,Salt Lake City,06 December 2024,15:00,16.7 km/h,67%,5°,43.4,71.0,16.0,65.1,3.1,458.0, 120 
25,Jerusalem,07 December 2024,00:00,1.6 km/h,56%,13°,43.0,,160.0,37.2,,, 119 
26,Doha,07 December 2024,01:00,7.4 km/h,68%,22°,42.5,,6.0,,,, 118 
27,Kuwait City,07 December 2024,01:00,3.2 km/h,58%,17°,42.5,,,,,, 118 
28,Ho Chi Minh City,07 December 2024,05:00,9.3 km/h,89%,26°,40.2,,,,,, 112 
29,Dakar,06 December 2024,22:00,11.1 km/h,83%,24°,38.4,19.3,,,,, 108 
30,Shenzhen,07 December 2024,06:00,11.3 km/h,79%,16°,38.5,53.0,42.0,18.0,6.0,700.0, 108 
31,Bishkek,07 December 2024,04:00,8.7 km/h,55%,-4°,38.4,0.0,,75.1,,, 108 
32,Guangzhou,07 December 2024,06:00,10.9 km/h,68%,17°,38.0,50.0,45.0,17.0,5.0,783.5, 107 
33,Bangkok,07 December 2024,05:00,5.2 km/h,60%,24°,37.9,78.0,,57.3,,984.7, 107 
34,Milano,06 December 2024,23:00,3.7 km/h,89%,1°,36.9,90.0,1.5,45.6,5.3,700.0, 104 
35,Manama,07 December 2024,01:00,13 km/h,82%,22°,35.0,,,,,, 99 
36,Lyon,06 December 2024,23:00,7.4 km/h,100%,2°,35.0,42.3,4.2,52.6,3.9,, 99 
37,Istanbul,07 December 2024,01:00,9.1 km/h,72%,10°,33.2,55.2,11.0,50.3,10.2,, 96 
38,Hong Kong,07 December 2024,06:00,6.4 km/h,79%,18°,32.0,45.7,41.8,27.4,2.5,708.9, 94 
39,Accra,06 December 2024,22:00,5.5 km/h,78%,28°,30.0,,,,,, 90 
40,Kaohsiung,07 December 2024,07:00,5.5 km/h,83%,19°,32.0,48.0,15.0,33.8,3.8,412.2, 94 
41,Dubai,07 December 2024,03:00,9.3 km/h,73%,22°,23.0,118.6,90.0,,,, 82 
42,Batam,07 December 2024,06:00,7.4 km/h,89%,27°,28.2,28.0,128.6,47.7,1.8,, 86 
43,Ljubljana,06 December 2024,23:00,1.8 km/h,93%,-2°,27.8,42.0,2.6,46.0,,550.3, 86 
44,Rome,06 December 2024,23:00,13 km/h,74%,10°,28.1,,15.0,59.0,1.2,1.8, 86 
45,Sarajevo,07 December 2024,00:00,3.7 km/h,100%,2°,18.7,16.0,21.0,27.5,11.5,411.0, 69 
46,Chongqing,07 December 2024,06:00,3.7 km/h,93%,5°,27.0,37.0,20.0,21.0,6.0,600.0, 84 
47,Riyadh,07 December 2024,02:00,10.3 km/h,42%,17°,27.5,,,,,, 85 
48,Chengdu,07 December 2024,06:00,7.2 km/h,71%,8°,26.0,37.0,35.0,21.0,4.0,400.0, 82 
49,Oslo,06 December 2024,23:00,4 km/h,97%,0°,25.2,26.8,23.9,18.2,0.3,0.5, 81 
50,Chiang Mai,07 December 2024,06:00,3.7 km/h,88%,21°,24.5,43.3,,,,, 80 
51,Warsaw,06 December 2024,23:00,14.8 km/h,89%,0°,24.0,30.8,14.3,19.5,4.2,279.0, 79 
52,Budapest,06 December 2024,23:00,3.7 km/h,97%,2°,24.3,35.0,2.8,29.4,8.7,833.5, 79 
53,Wuhan,07 December 2024,06:00,9.3 km/h,49%,6°,24.0,35.0,65.0,21.0,9.0,500.0, 79 
54,Baku,07 December 2024,02:00,7.4 km/h,93%,9°,23.4,,,,,, 78 
55,Copenhagen,06 December 2024,23:00,13 km/h,87%,4°,20.7,14.7,28.7,19.4,1.5,0.3, 73 
56,Madrid,07 December 2024,00:00,3.7 km/h,89%,9°,21.0,35.0,2.0,59.0,5.0,, 73 
57,Bratislava,07 December 2024,00:00,9.3 km/h,82%,5°,4.0,5.5,13.0,33.0,4.0,533.6, 22 
58,Belgrade,06 December 2024,23:00,5.5 km/h,94%,4°,19.4,41.5,7.3,28.4,9.9,805.0, 70 
59,Los Angeles,06 December 2024,15:00,9.3 km/h,46%,23°,14.9,,58.0,60.2,2.6,, 62 
60,Medan,07 December 2024,05:00,3.7 km/h,94%,25°,11.2,,,,,, 55 
61,Kuala Lumpur,07 December 2024,07:00,3.7 km/h,83%,25°,15.9,,,,,, 64 
62,Algiers,06 December 2024,23:00,7.4 km/h,82%,13°,16.8,,,,,, 65 
63,Yangon,07 December 2024,05:30,7.4 km/h,94%,23°,12.0,,,,,, 56 
64,Kuching,07 December 2024,06:00,0 km/h,99%,26°,15.4,,,,,, 63 
65,Kraków,07 December 2024,00:00,5.5 km/h,69%,2°,14.0,16.5,,32.5,2.3,226.0, 60 
66,Nairobi,07 December 2024,02:00,0 km/h,72%,17°,17.5,16.2,,,,40.3, 67 
67,Johannesburg,07 December 2024,00:00,12.3 km/h,34%,21°,15.0,30.0,,,,, 62 
68,Phnom Penh,07 December 2024,06:00,7.4 km/h,94%,27°,15.6,,,,,, 63 
69,Wrocław,07 December 2024,00:00,3.7 km/h,95%,3°,13.9,23.0,8.0,42.3,12.2,686.0, 60 
70,Lima,06 December 2024,18:00,18.5 km/h,82%,17°,14.3,27.6,7.4,13.4,28.5,1.5, 61 
71,San Francisco,06 December 2024,15:00,14.8 km/h,61%,17°,10.9,,34.0,30.3,,, 54 
72,Bogota,06 December 2024,18:00,13 km/h,97%,14°,13.2,33.9,10.0,,,, 58 
73,Pristina,07 December 2024,00:00,7.4 km/h,90%,6°,10.0,16.1,12.5,31.5,11.2,600.0, 52 
74,Brussels,07 December 2024,00:00,18.5 km/h,81%,7°,0.5,21.0,35.0,31.0,,, 19 
75,Kyiv,07 December 2024,00:00,1.6 km/h,78%,1°,12.1,10.0,,,,, 57 
76,Krasnoyarsk,07 December 2024,06:00,4.5 km/h,97%,-8°,18.0,,,39.5,9.5,400.0, 68 
77,Amsterdam,06 December 2024,23:00,22.2 km/h,76%,6°,11.9,22.7,40.3,33.4,0.7,378.5, 56 
78,Barcelona,07 December 2024,00:00,11.1 km/h,71%,13°,15.7,20.0,14.0,50.0,1.5,200.0, 63 
79,Bucharest,07 December 2024,00:00,9.3 km/h,93%,3°,11.0,15.3,11.4,31.0,7.2,, 55 
80,Seattle,06 December 2024,15:00,9.3 km/h,79%,9°,9.3,24.4,7.2,42.4,2.6,417.2, 51 
81,Incheon,07 December 2024,07:00,3.7 km/h,64%,-2°,10.5,25.0,28.4,44.1,8.9,578.2, 54 
82,Sofia,07 December 2024,01:00,27.8 km/h,93%,3°,11.4,20.9,34.0,34.3,8.7,0.4, 55 
83,Seoul,07 December 2024,08:00,1.8 km/h,80%,-5°,10.0,22.0,22.4,56.2,6.8,561.1, 53 
84,Manila,07 December 2024,06:00,1.8 km/h,88%,27°,9.7,,,,,, 52 
85,Singapore,07 December 2024,07:00,5.5 km/h,89%,26°,10.0,21.0,19.0,11.0,4.0,500.0, 53 
86,Paris,07 December 2024,00:00,18.5 km/h,88%,8°,9.1,29.1,27.9,34.0,,, 51 
87,Busan,07 December 2024,08:00,1.8 km/h,60%,0°,9.0,16.0,52.0,22.6,5.2,343.5, 50 
88,Bern,07 December 2024,00:00,3.7 km/h,87%,1°,14.2,14.9,14.0,22.0,,, 61 
89,Rotterdam,06 December 2024,23:00,20.4 km/h,85%,6°,9.2,21.5,15.1,43.1,,, 51 
90,Addis Ababa,07 December 2024,02:00,5.5 km/h,47%,12°,9.0,,,,,, 50 
91,Vienna,07 December 2024,00:00,51.5 km/h,79%,5°,8.5,11.0,66.0,6.0,1.0,250.0, 47 
92,Sao Paulo,06 December 2024,20:00,14.8 km/h,79%,27°,8.0,30.5,59.0,37.0,1.0,687.0, 44 
93,Stockholm,07 December 2024,00:00,9.3 km/h,94%,1°,8.4,8.1,25.8,15.0,,, 46 
94,Moscow,07 December 2024,02:00,18.9 km/h,66%,-4°,9.4,,,,,, 51 
95,Berlin,07 December 2024,00:00,7.4 km/h,95%,5°,8.4,13.0,19.0,25.5,,0.0, 47 
96,Osaka,07 December 2024,08:00,9.3 km/h,81%,3°,7.0,10.5,,27.3,10.5,343.5, 39 
97,Vancouver,06 December 2024,15:00,13 km/h,88%,9°,6.0,,2.4,52.4,2.9,, 33 
98,Kobe,07 December 2024,07:00,20.4 km/h,61%,7°,7.0,10.0,,18.8,0.0,400.8, 39 
99,Sydney,07 December 2024,10:00,1.6 km/h,86%,24°,5.8,21.5,0.0,0.0,0.0,155.3, 32 
100,Sydney,07 December 2024,10:00,1.6 km/h,86%,24°,5.8,21.5,0.0,0.0,0.0,155.3, 32 
101,Taipei,07 December 2024,07:00,13 km/h,73%,19°,5.6,7.0,83.0,5.6,1.7,229.0, 34 
102,Kyoto,07 December 2024,07:00,1.6 km/h,75%,5°,6.0,8.0,,22.6,2.6,400.8, 33 
103,Houston,06 December 2024,17:00,11.1 km/h,44%,12°,4.5,34.7,52.0,6.8,,171.8, 31 
104,Minneapolis,06 December 2024,17:00,7.4 km/h,59%,0°,6.0,33.0,,,,, 33 
105,Portland,06 December 2024,15:00,9.6 km/h,67%,7°,5.8,9.3,26.0,6.4,1.6,114.5, 32 
106,Santiago,06 December 2024,20:00,24.1 km/h,40%,21°,3.0,31.0,65.0,11.9,3.4,372.1, 29 
107,Beijing,07 December 2024,07:00,25.2 km/h,34%,-2°,5.0,9.0,51.0,3.0,3.0,200.0, 28 
108,Helsinki,07 December 2024,01:00,25.7 km/h,85%,0°,5.2,6.2,27.8,6.1,0.2,, 29 
109,Auckland,07 December 2024,12:00,11.3 km/h,64%,22°,4.0,11.3,,3.9,,, 22 
110,Munich,07 December 2024,00:00,8.1 km/h,71%,5°,3.0,9.0,64.0,7.0,,, 26 
111,Lisbon,06 December 2024,23:00,13 km/h,76%,15°,3.6,9.8,25.0,47.0,3.0,338.0, 24 
112,Washington D.C.,06 December 2024,18:00,13 km/h,50%,0°,4.6,8.0,64.0,14.3,,229.0, 26 
113,Denver,06 December 2024,16:00,5.6 km/h,27%,12°,4.7,24.0,54.0,26.3,2.6,458.0, 26 
114,New York City,06 December 2024,18:00,29.6 km/h,42%,0°,2.0,,56.0,,1.1,176.9, 23 
115,Birmingham,06 December 2024,22:00,31.5 km/h,97%,11°,3.4,5.4,59.0,8.5,1.1,, 24 
116,Dublin,06 December 2024,23:00,42.6 km/h,83%,11°,1.5,5.5,57.9,6.6,3.3,, 24 
117,Prague,07 December 2024,00:00,22.2 km/h,87%,5°,3.8,5.5,44.3,15.4,4.7,284.6, 21 
118,Detroit,06 December 2024,18:00,33.3 km/h,53%,-1°,4.6,,,17.9,3.9,229.0, 25 
119,Chicago,06 December 2024,17:00,20.4 km/h,46%,0°,4.0,,,,,, 22 
120,Melbourne,07 December 2024,10:00,18.5 km/h,77%,24°,3.1,,,,,, 17 
121,Toronto,06 December 2024,18:00,38.6 km/h,75%,-2°,3.8,5.9,44.0,30.1,0.1,366.4, 21 
122,Canberra,07 December 2024,10:00,24.1 km/h,88%,23°,1.2,5.8,42.0,,,, 17 
123,Tokyo,07 December 2024,08:00,18.5 km/h,54%,8°,3.0,4.0,,26.3,2.6,229.0, 17 
124,Montreal,06 December 2024,18:00,25.9 km/h,66%,-8°,2.7,,18.0,2.0,1.0,, 14 
0,Cairo,07 December 2024,05:00,3.7 km/h,63%,17°,170.6,,,,,, 246 
1,Shanghai,07 December 2024,13:00,10.8 km/h,58%,12°,130.0,146.5,74.0,39.5,8.0,980.5, 205 
2,Hangzhou,07 December 2024,15:00,16.5 km/h,43%,11°,110.5,138.0,92.0,32.0,9.0,"1,000.0", 190 
3,Delhi,07 December 2024,12:30,3.7 km/h,30%,22°,87.6,209.5,67.4,35.5,11.9,700.0, 174 
4,Dhaka,07 December 2024,13:00,9.3 km/h,27%,25°,69.0,,112.0,,,, 160 
5,Karachi,07 December 2024,12:00,14.8 km/h,22%,26°,20.0,,,,,, 71 
6,Lahore,07 December 2024,12:00,11.1 km/h,49%,20°,78.0,,,,,, 167 
7,Tehran,07 December 2024,11:30,5.5 km/h,31%,9°,79.7,120.3,22.0,229.8,90.8,"6,963.5", 168 
0,Cairo,07 December 2024,07:00,0 km/h,67%,16°,162.7,,,,,, 238 
1,Hangzhou,07 December 2024,14:00,16.6 km/h,42%,11°,121.0,149.0,88.0,36.0,9.5,"1,000.0", 197 
2,Shanghai,07 December 2024,14:00,18 km/h,50%,12°,70.0,92.5,90.0,33.0,8.0,921.5, 161 
3,Delhi,07 December 2024,12:30,3.7 km/h,30%,22°,96.0,212.0,66.4,40.0,12.4,750.0, 179 
0,Cairo,07 December 2024,04:00,0 km/h,63%,17°,205.0,,,,,, 280 
1,Kinshasa,07 December 2024,04:00,1 km/h,92%,21°,53.0,,,,,, 144 
2,Delhi,07 December 2024,10:30,7.4 km/h,42%,18°,114.0,232.5,34.7,52.8,12.6,960.0, 192 
3,Lahore,07 December 2024,10:00,0 km/h,63%,16°,169.8,,,,,, 245 
4,Karachi,07 December 2024,12:00,14.8 km/h,22%,26°,20.0,,,,,, 71 
5,Shanghai,07 December 2024,15:00,18 km/h,47%,12°,69.0,84.5,90.0,34.0,8.0,917.0, 160 
6,Hangzhou,07 December 2024,15:00,16.8 km/h,48%,11°,110.5,138.0,92.0,32.0,9.0,"1,000.0", 190 
7,Tehran,07 December 2024,11:30,5.5 km/h,31%,9°,79.7,120.3,22.0,229.8,90.8,"6,963.5", 168 
